content,user,user_id
"
                    好样的，骑士！#北京# 北京那些事儿 #摩托# #北京好人# L狂奔德意志的微博视频 67                ",狂奔德意志,1435668675
"
@北京公交那些事儿@北京公交集团 #北京好人##好人好事# 今天一个人出去，手机没电关机啦， 又由于各种原因错过 519，绝望中上了560的末班车，希望找个靠近老牛湾的地点下车。公交师傅见我没法回家，主动提出捎我一程。将最后一趟车行驶到生命科学园西终点站，再将车停到停车场。师傅下车上了个厕所快速 67  展开全文c ",影千默,5725483913
"
#北京好人##好人# 我见过有人横穿马路，也见过有司机在斑马线上不减速，但最让人感动的是，我愿意帮你，而你也心怀感激#北京# 2北京 67                ",元明纵横两个帝国,3085266297
"
#北京好人##一线微观#【暖心！北京交通协管解释为何尽力拦人：行人要出了事故，家人会着急】韩建民是北京前门东大街的一位志愿交通协管员。他说，规劝想要闯红灯的行人是为了“成全他们的家庭”，“他要出了事故，他家人不着急吗”。他表示，大部分市民都很支持他的工作，工作时遇到过不少让人暖心的好 67  展开全文c ",视觉延庆,1118418452
"
                    上班路上，远处看到一个大巴车停路边，车尾呼呼冒黑烟00忽见一个美团外卖小哥，停下车，急忙跑过去拍大巴的门，告诉司机后面冒烟，很着急的说“你的车在冒烟，是不是着火了，快去看看啊！”司机连忙说“知道的，没事，谢谢谢谢…”为这位“超人”小哥点赞#外卖# 67  展开全文c ",Jean苏苏,5120394036
"
#北京好人#【2018年“北京社会好人榜”揭晓】日前，2018年“北京社会好人榜”揭晓。市委社会工委、千龙网携手召开评选发布会，对12名年榜人物、102名上榜个人、102个上榜群体进行表彰。这些榜样人物和群体带头弘扬社会主义核心价值观，带头展示首都良好形象，用自己的一技之长服务于国际一流和谐宜居之 67  展开全文c ",文明北京,2189978113
"
                    这么神奇的事情发生在我们的身边，#中国好人# 非常感谢这位捡到U盘的小姐姐，写真让我们更加知道世上好人还是非常多的#北京好人# 2北京・国瑞城东区 67                ",凤栖梧复古摄影,2485314467
"
人民日报 北京的冬天虽冷，但人心温暖昨天晚上23:09左右，在北京地铁10号线上，在三元桥站，发生了令我难以忘怀的事。在乘坐地铁去首都国际机场的路上，因为自己太过认真的看一篇文章，而没有第一时间下地铁，导致我身后的背包被地铁门卡住，这时的我还没有意识到事情的可怕 67  展开全文c ",诗远啊・,5019382686
"
                    这是一封严肃认真的感谢信，谢谢北京味酌四海酒店的拾金不昧，在我家困难焦急的时刻给了我们极大的温暖！非常非常非常非常非常感谢！无以言表！不知好心人能否看到，但这个社会的正义和温暖值得被颂扬！！#北京好人##北京# 67                ",兜兜dou一胖,2972233787
"
#北京好人##北京身边事#【北京人艺演员金汉：先做人后演戏 做好人演好戏】2014年4月，北京人民艺术剧院演员金汉在两名女性遭遇抢劫的危难关头，勇敢地冲上去与歹徒搏斗，用实际行动诠释了“先做人后演戏，做好人演好戏”的精神。舞台上，金汉是骁勇善战的侍卫，舞台下，他是见义勇为的北京榜样↓↓  67  展开全文c ",BTV北京新闻,1308405950
"
#北京好人# 10号下午两点在北京地铁10号线，一位安全员在车厢里捡到一个装有20万现金的背包，后经多方联系找到失主。这安全员名叫张远亮、黑龙江人，今年44岁。尽职尽责、好人一生平安  67                ",北京人的那些事,2549713795
"
#北京好人##北京寻人# @没有公主命要有女王芯C：【帮转05】今天中午亲戚一行四人到长城景区游玩，12:15左右发现老人走失，便开始寻找，13:00左右报警，至今仍未找到。老人姓汪，70多岁，外貌黑瘦。身上有联系人名片信息，酒店地址。求帮忙转发！！！！！联系人:吴先生13635595169 67 676767                ",没有公主命要有女王芯C,3479619900
"
#北京身边事##北京好人#【北京小伙一身正气，组队解救被外地人私锁的小黄车】【今天剪了六辆上私锁的***爽哈哈――分享自北京国安吧】@北京人发布会 @北京土著雷爷@北京发声@北京人时报 O网页链接 67                ",北京人新闻,1448616447
"
#北京身边事# #北京好人#【贴吧：北京小伙劝北京姑娘拒人逼恋保护自己：“千万别找东北人！” 网友：积德行善做好事！】O网页链接 @北京人发布会@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京人不知道的北京事儿@国际新闻观察 67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京事儿##北京好人#【三位人品高尚的北京姑娘解救被人品低劣的外地建设者私锁的共享单车】 #共享单车在哭泣# by：@兔子等着瞧2017 @ofo共享单车 @ofo小黄车北京 @北京人发布会@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@马克Mark微故事 @北京土著雷 67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京好人#【北京姑娘路遇破坏共享单车外地男子，见义勇为出手制止】评：外地人素质真低！by：@YukiMiKK 今天我下班时在昌平立水桥地铁站遇到两个男子在破坏ofo小黄车并卸车锁仍在地上骑走，我上前制止，男子不得已放弃此车，放在路边。由于我没有下载并使用过小黄车，就在车旁边守着，在 67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京好人#【北京售票员大姐热心助人帮外地老人缓解病痛获称赞】by：@斯蒂芬3马布里 网友评：售票员大姐背负生活压力，随时可能被下岗，却依然坚守岗位尽忠职守。比睡觉玩手机的黑保安强百倍，北京人素质就是高，外地人比不了。不让本地公交司机售票员下岗不行吗？@北京公交集团  67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京好人##北京观察#【因厌恶共享单车被私自占用，北京姑娘往返11次将小区内单车骑回公共区域】“北京姑娘又一次用行动教建设者做人！”by：@小猴猴116 #共享单车会被玩坏吗# 春节后 每天回家都会看到违规停进小区内楼门口的共享单车 向@ofo北京 和@摩拜单车北京 举报了无数次 但是 67  展开全文c ",北京人新闻,1448616447
"
#北京身边事# #北京好人#【北京摩友一身正气生擒骑伪造号牌摩托的外地贼，京城再爆正能量】为维护家乡北京的治安和交通秩序，一位北京摩友@裤衩儿两天一换 于今日晚间亲自在街头发现一名骑伪造号牌疑似盗抢摩托的黑龙江男子（尤今路，90年出生），并与随行摩友一道报警并控制该男子至民警到场。很好的 67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京突发##北京观察##北京好人#【北漂偷ofo单车据为己有被发现，北京小伙一身正气见义勇为抓现行教北漂做人】贴吧一网友@Tyr争 发帖记录，路遇偷盗ofo的外地男子，于是出手，人赃并获扭送派出所。微评：一辆自行车几百块钱，这些北漂的人格连这几百块钱都没有。外地人在北京学做人的经历 67  展开全文c ",北京人新闻,1448616447
"
                    //@卡扎菲9119://@火狐冰冰冻儿:大爷V5 //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣 ",玉群翡翠小百科,3281956267
"
                    //@北京人发布: #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言@徐德亮@小将南方@邓乐军 ",-第18使徒-,1792912405
"
                    /@京剧娃娃888:/@北京人发布: #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言@徐德亮 ",刘D宝儿,1886794537
"
                    随手 //@京剧娃娃888://@北京人发布:#北京身边事# #北京曝光##北京好人# 【公交小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言@徐德亮 ",jiang_6898,5520205573
"
                    //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】                ",小猪麻麻的围脖,2993057284
"
                    //@卡扎菲9119://@火狐冰冰冻儿:大爷V5 //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣 ",国安拉莫斯,1978906153
"
                    //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言@徐德亮 ",京剧娃娃888,2538254670
"
                    //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言 ",w先森V,2184857311
"
                    //@火狐冰冰冻儿:大爷V5 //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客 ",卡扎菲9119,2117557330
"
                    //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言@徐德亮 ",北京_晕迨歉雒蜗爰,1923368563
"
                    大爷V5 //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿@金汕博客@我是真梁言 ",火狐狸与夏吾冬,1408190485
"
                    //@北京人发布:#北京身边事# #北京曝光##北京好人# 【北京大爷一身正气怒斥素质低劣的公交外地小黑人】@北京公交集团 @天涯北京009@卡扎菲9119@北京人时报@北京同城会@疯狂老北京@北京发声@北京人民新闻@北京土著雷爷@北京土著大联盟@北京网宣@北京人不知道的北京事儿 ",美艳毛小毛,2610570271
"
                    今天又看到一个北京好大妈，在地铁十号线团结湖站，一个男人不舒服蹲在地上，维持秩序的阿姨关心的问他没事吧？看他捂着心脏部位，赶紧指引他去旁边的椅子上坐下来，并建议他先去医院瞧瞧。雾霾立刻被驱散了。#北京好人# 67                ",万博的小豆,1743847362
"
                    中午定个外卖#外卖小哥#来晚了然后把送餐费给了我迷糊中#北京好人# 67                ",吃土的小喇叭,3895424482
"
#北京身边事##北京提醒##北京好人#【今天我为勇敢捍卫尊严回击碰瓷儿挑衅的北京小伙子换一次头像，你就是我们心里的英雄！】面对一个母逼破口大骂和耳光的羞辱，小伙子选择了勇敢的回击，因为他已经退无可退。你这两巴掌是替北京人打的！我们为你骄傲！！@北京人发布 @卡扎菲9119 @北京人时报  67  展开全文c ",北京人新闻,1448616447
"
#北京身边事##北京好人#【数名北京少年公交车上见义勇为擒窃贼】2016年10月21日，几位北京中学生在公交车上勇擒窃贼。而那么外地人享受北京公交补贴90%却很少亲自维护北京的治安秩序，更多选择袖手旁观，甚至制造北京90%的犯罪率。这境界差的真是太远了。关键时刻还是北京孩子有正气。@天涯北京009 67                ",京城爆料,5922373503
"
#北京身边事##北京好人#【数名北京少年公交车上见义勇为擒窃贼】2016年10月21日，几位北京中学生在公交车上勇擒窃贼。而那么外地人享受北京公交补贴90%却很少亲自维护北京的治安秩序，更多选择袖手旁观，甚至制造北京90%的犯罪率。这境界差的真是太远了。关键时刻还是北京孩子有正气。@天涯北京009 67                ",北京美食旅游,5922299295
"
                    我发表了头条文章:《#北京好人#您的一个小举动，让这场暴雨多了暖意！》 O#北京好人#您的一个小举动，让这场暴雨多了暖意！ 67                ",QL--摊子,1772017772
"
                    通州蝙蝠侠 //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",Winson1130,2053514325
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",二子二了,1219729985
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",Jessie垣,3911707546
"
                    牛逼！ //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",Schumi07ga,1704906051
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",小宅门儿,5654796806
"
                    帅//@Funny-8: //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",家有小流氓--JamesTTTTTT,1836337854
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",ShuoShaw_,2969984952
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",安定医院老病人了,1716843264
"
                    //@Funny-8: //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",斛槲S,1448407212
"
                    我地头蛇万岁 //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",王-燕-京PEK,1296992971
"
                    干得漂亮//@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",憋了的路灯,1140965691
"
                    通州哥们儿干的好，解气91//@天涯北京009:#北京好人#@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",北京人团结互助会,2417998255
"
                    干的漂亮 //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",囊嘉陆压,2256226347
"
                    //@天涯北京009:#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",老宋2008北京小小号,3810254010
"
#北京好人#【通州群众】@北京人发布:  通州群众霸气出手，砸烂嚣张的东北逼小摊，见义勇为不留名。警方出手一个不落，曾叫嚣偷也是合法的东北无照摊贩团伙黑恶势力被一网打尽！！正义的力量再现京城！！通州群众一鸣惊人迅速窜红！！市民齐祝好人一生平安！！                ",北京人新闻,1448616447
"
                    清晨感恩，昨天在清华园我和儿子吃的是食堂饭，是儿子跟大学的姐姐借的饭卡刷的，虽然我也给了美女饭钱，但这里还是要特别感谢这位美女，给了我儿子一次锻炼的机会！好人一生平安！早安#北京好人#2北京・清华大学#做好事做善事做志愿者##育儿那些事# 2高碑店 ・ 东盛街区 67                ",TST庭秘密-super家族金卡代理辉,1710131307
"
                    //@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",乐悠悠_混日子,2055588447
"
                    //@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",天秤座的777,5865914749
"
                    畜牲就是畜牲，它们习惯鞭子试教育//@世界上最后一个小纯洁://@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",宣武-永存,2499867151
"
                    //@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",String-RU舫跣,1768062221
"
                    //@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",十三家的长睫毛,1301292957
"
                    还是北京人爱北京，再说一遍：WDB滚蛋！//@BJ炒肝://@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",军皮少校-simon,2112201975
"
                    //@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",牙医的牙有蛀牙,1026693791
"
//@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",BJ炒肝,3508775484
"
                    //@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",终于迈进了40的行列,3540450035
"
                    //@天涯北京009://@北京人发布:回复@北京人发布:#北京观察##北京好人#全车外地人无一援手视若无睹。只有作者拍照后用行动赞美北京大姐的义举！@天涯北京009//@北京人发布:#北京观察#肯定会有外地人说“你这样是想让清洁工失业吧？！”                ",梦的天堂_玲,1497117041
